"strike","daily_close","daily_high","daily_low","daily_volume","daily_vw","delta","gamma","rho","theta","vega","implied_volatility","ask_price","ask_size","bid_price","bid_size","trade_price","trade_size","trade_time","minute_open","minute_close","minute_high","minute_low","minute_volume","prev_close","prev_high","prev_low","prev_volume"
"AAPL250103C00285000",0.01,0.02,0.01,104,0.010962,0.0079,0.0019,3e-04,-0.0255,0.0065,0.3911,0.05,21,0.01,78,0.01,6,"2024-12-27T20:59:16.386499328Z",0.01,0.01,0.01,0.01,47,0.02,0.02,0.01,207
"AAPL250103C00225000",30.6,32.09,28.8,22,30.403182,0.9524,0.0051,0.0291,-0.2188,0.0296,0.6545,31.94,59,28.66,18,30.6,3,"2024-12-27T20:46:57.40741504Z",30.6,30.6,30.6,30.6,3,34.47,34.47,33.56,11
"AAPL250103C00265000",0.18,0.48,0.1,12241,0.182776,0.0646,0.0195,0.0022,-0.0834,0.0376,0.2165,0.21,130,0.15,186,0.18,10,"2024-12-27T20:59:51.081430784Z",0.18,0.18,0.19,0.17,151,0.54,0.82,0.38,10465
"AAPL250103C00155000",100.16,100.16,100.16,2,100.16,NA,NA,NA,NA,NA,NA,104.28,55,100.61,22,100.16,2,"2024-12-27T15:59:52.49523328Z",100.16,100.16,100.16,100.16,2,103.22,103.22,103.21,35
"AAPL250103C00180000",74.83,74.83,73.7,43,73.856512,NA,NA,NA,NA,NA,NA,75.72,5,75.39,5,76.12,1,"2024-12-27T18:39:46.112973312Z",74.83,74.83,74.83,74.83,1,78.26,78.26,78.26,28
"AAPL250103C00325000",0.02,0.02,0.02,5,0.02,NA,NA,NA,NA,NA,NA,0.01,17,0,0,0.02,1,"2024-12-23T15:43:28.827393024Z",0.02,0.02,0.02,0.02,5,NA,NA,NA,NA
"AAPL250103P00205000",0.04,0.04,0.03,72,0.031806,-0.0025,4e-04,-1e-04,-0.0153,0.0023,0.6717,0.02,7,0.01,19,0.05,1,"2024-12-27T19:30:29.449677312Z",0.04,0.04,0.04,0.04,1,0.01,0.03,0.01,269
"AAPL250103C00220000",35.75,36.55,33.85,61,34.972951,0.89,0.0058,0.026,-0.6291,0.0561,1.082,37.84,75,35.58,30,35.75,15,"2024-12-27T20:55:59.638797056Z",35.75,35.75,35.75,35.75,15,39.49,39.49,38.64,17
"AAPL250103C00130000",124.19,124.19,124.19,3,124.19,NA,NA,NA,NA,NA,NA,128.26,12,123.66,23,125.65,3,"2024-12-23T16:02:10.084904448Z",124.19,124.19,124.19,124.19,3,NA,NA,NA,NA
"AAPL250103C00140000",114.45,114.45,114.45,1,114.45,NA,NA,NA,NA,NA,NA,118.74,67,115.74,67,114.45,1,"2024-12-27T16:14:10.36356096Z",114.45,114.45,114.45,114.45,1,116.78,116.78,116.78,1
"AAPL250103C00292500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL250103C00295000",0.07,0.07,0.01,9,0.024444,NA,NA,NA,NA,NA,NA,0.03,41,0,0,0.03,1,"2024-12-27T20:29:43.821103872Z",0.07,0.07,0.07,0.07,1,0.01,0.02,0.01,3
"AAPL250103C00170000",85.65,85.65,85.65,1,85.65,NA,NA,NA,NA,NA,NA,88.98,67,83.95,67,85.49,1,"2024-12-27T15:17:43.105823232Z",85.65,85.65,85.65,85.65,1,80.17,80.17,80.17,1
"AAPL250103P00220000",0.08,0.11,0.05,2117,0.075574,-0.0155,0.0022,-6e-04,-0.0685,0.0116,0.5932,0.11,220,0.09,223,0.09,1,"2024-12-27T20:55:51.571741952Z",0.08,0.08,0.08,0.08,101,0.05,0.06,0.05,164
"AAPL250103C00207500",47.45,47.45,46.95,697,47.25505,0.9828,0.0017,0.0278,-0.1318,0.0127,0.8509,48.82,52,46.29,38,46.18,1,"2024-12-27T16:29:46.745297408Z",47.45,47.45,47.45,47.45,1,51.61,52.05,51.5,7
